"Name","DisplayName","Status","Priority","Action","Color"
"Spooler","Print Spooler","Running","Medium","None","Green"
"W32Time","Windows Time","Stopped","High","Restart attempted - will retry","Yellow"
"EventLog","Windows Event Log","Running","Critical","None","Green"
"Dhcp","DHCP Client","Running","High","None","Green"
"Dnscache","DNS Client","Running","Critical","None","Green"
"WinRM","WinRM","Running","Medium","None","Green"
"wuauserv","Windows Update","Running","Low","None","Green"
"Spooler","Print Spooler","Running","Medium","None","Green"
"W32Time","Windows Time","Stopped","High","Restart attempted - will retry","Yellow"
"EventLog","Windows Event Log","Running","Critical","None","Green"
"Dhcp","DHCP Client","Running","High","None","Green"
"Dnscache","DNS Client","Running","Critical","None","Green"
"WinRM","WinRM","Running","Medium","None","Green"
"wuauserv","Windows Update","Running","Low","None","Green"
"Spooler","Print Spooler","Running","Medium","None","Green"
"W32Time","Windows Time","Stopped","High","ESCALATE - Restart failed after 3 attempts","Red"
"EventLog","Windows Event Log","Running","Critical","None","Green"
"Dhcp","DHCP Client","Running","High","None","Green"
"Dnscache","DNS Client","Running","Critical","None","Green"
"WinRM","WinRM","Running","Medium","None","Green"
"wuauserv","Windows Update","Running","Low","None","Green"
"Spooler","Print Spooler","Running","Medium","None","Green"
"W32Time","Windows Time","Stopped","High","ESCALATE - Max restarts exceeded","Red"
"EventLog","Windows Event Log","Running","Critical","None","Green"
"Dhcp","DHCP Client","Running","High","None","Green"
"Dnscache","DNS Client","Running","Critical","None","Green"
"WinRM","WinRM","Running","Medium","None","Green"
"wuauserv","Windows Update","Running","Low","None","Green"
"Spooler","Print Spooler","Running","Medium","None","Green"
"W32Time","Windows Time","Stopped","High","ESCALATE - Max restarts exceeded","Red"
"EventLog","Windows Event Log","Running","Critical","None","Green"
"Dhcp","DHCP Client","Running","High","None","Green"
"Dnscache","DNS Client","Running","Critical","None","Green"
"WinRM","WinRM","Running","Medium","None","Green"
"wuauserv","Windows Update","Running","Low","None","Green"
"Spooler","Print Spooler","Running","Medium","None","Green"
"W32Time","Windows Time","Stopped","High","ESCALATE - Max restarts exceeded","Red"
"EventLog","Windows Event Log","Running","Critical","None","Green"
"Dhcp","DHCP Client","Running","High","None","Green"
"Dnscache","DNS Client","Running","Critical","None","Green"
"WinRM","WinRM","Running","Medium","None","Green"
"wuauserv","Windows Update","Running","Low","None","Green"
